gastos,descrip
"A200","Pollo rostizado"
"A201","Barbacoa y birria"
"A202","Otros alimentos preparados: atole, flautas, guisados, hot-dog, emparedados, sopas, tacos, tamales, tortas, sopes, menudo, pozole, arroz con leche, etc."
"A203","Hongos frescos: champiñones, huitlacoche y setas"
"A204","Insectos: chapulines, chinicuiles, escamoles, gusanos de maguey, hormigas (chicatana), jumiles"
"A205","Flanes, gelatinas y pudines en polvo"
"A206","Cajetas, dulces de leche, jamoncillos y natillas"
"A207","Ates, crema de cacahuate, jaleas, mermelada"
"A208","Helados, nieves y paletas de hielo"
"A209","Otras golosinas"
"A210","Molienda de nixtamal"
"A211","Otros gastos relacionados con la preparación de alimentos"
"A212","Alimentos y/o bebidas en paquete"
"A213","Alimento para animales domésticos"
"A214","Alimento para animales para uso del hogar"
"A215","Agua natural embotellada"
"A216","Agua mineral, quina, desmineralizada con o sin sabor"
"A217","Agua preparada y jugos naturales"
"A218","Jugos y néctares envasados"
"A219","Concentrados y polvos para preparar bebidas"
"A220","Refrescos de cola y de sabores"
"A221","Bebida energética"
"A222","Bebidas fermentadas de maíz, hielo, jarabe natural, lechuguilla, sangrita, tascalate, tepache y tuba"
"A223","Coñac y brandy"
"A224","Cerveza"
"A225","Anís (licor)"
"A226","Jerez"
"A227","Licor o cremas de frutas"
"A228","Aguamiel, pulque, tlachique"
"A229","Aguardiente, alcohol de caña, charanda, mezcal"
"A230","Ron añejo, blanco, con limón"
"A231","Rompope"
"A232","Sidra blanca y rosada"
"A233","Tequila añejo, azul y blanco"
"A234","Vino de mesa blanco, rosado, tinto"
"A235","Vodka"
"A236","Whisky"
"A237","Bebida alcohólica preparada"
"A238","Otras bebidas alcohólicas: champaña"
"A239","Cigarros"
"A240","Puros"
"A241","Tabaco en hoja y picado"
"A242","Despensa de alimentos que otorgan organizaciones privadas o de gobierno"
"A243","Desayuno"
"A244","Comida"
"A245","Cena"
"A246","Entrecomidas"
"A247","Otros eventos fuera de casa"
"B001","Metro o tren ligero"
"B002","Autobús"
"B003","Trolebús o metrobús"
"B004","Colectivo, combi o microbús"
"B005","Taxi, radio-taxi (sitio)"
"B006","Autobús foráneo"
"B007","Otros transportes: lancha, panga o peaje"
"C001","Detergentes (polvo, líquido, pasta, gel)"
"C002","Jabón de barra"
"C003","Blanqueadores"
"C004","Suavizantes de telas"
"C005","Limpiadores (en polvo o líquido)"
"C006","Servilletas y papel absorbente"
"C007","Platos y vasos desechables, papel aluminio y encerado"
"C008","Escobas, trapeadores, recogedor"
"C009","Fibras, estropajos, escobetas, pinzas para ropa, lazos"
"C010","Jergas y trapos de cocina"
"C011","Cerillos"
"C012","Pilas"
"C013","Focos"
"C014","Cera y limpia muebles"
"C015","Insecticidas líquido, en polvo, pastilla, raid eléctrico"
"C016","Desodorante ambiental y sanitario"
"C017","Recipientes de lámina (cubetas, tinas, etcétera)"
"C018","Recipientes de plástico (cubetas, tinas, mangueras, etcétera)"
"C019","Otros artículos"
"C020","Servicio doméstico"
"C021","Lavandería"
"C022","Tintorería"
"C023","Jardinería"
"C024","Otros servicios: fumigación, etcétera"
"D001","Jabón de tocador"
"D002","Lociones y perfumes"
"D003","Pasta dental y enjuague bucal"
"D004","Hilo y cepillo dental"
"D005","Champús, enjuagues, tratamiento para el cabello"
"D006","Tintes y líquidos para permanente"
"D007","Desodorante y talco"
"D008","Bronceadores y bloqueadores"
"D009","Crema para el cuerpo, para la cara y tratamiento facial"
"D010","Gel, spray, mousse para el cabello"
"D011","Crema para afeitar y rastrillos"
"D012","Cosméticos, polvo y maquillaje sombra, lápiz labial, delineador de ojos, etcétera"
"D013","Esmalte para uñas"
"D014","Papel sanitario, pañuelos desechables"
"D015","Toallas sanitarias"
"D016","Pañales desechables"
"D017","Artículos de tocador para bebé"
"D018","Cepillos y peines"
"D019","Artículos eléctricos: rasuradora, secadora, etcétera"
"D020","Reparación y/o mantenimiento de los artículos anteriores"
"D021","Otros: donas y mariposas para el cabello, limas de uñas, pasadores, etcétera"
"D022","Corte de cabello y peinado"
"D023","Baños y masajes"
"D024","Permanentes y tintes"
"D025","Manicure"
"D026","Otros servicios: rasurar, depilar, etcétera"
"E001","Preescolar"
"E002","Primaria"
"E003","Secundaria"
"E004","Preparatoria o bachillerato"
"E005","Profesional"
"E006","Maestría y doctorado"
"E007","Educación Técnica"
"E008","Estancias infantiles (excepto preprimaria)"
"E009","Enseñanza adicional"
"E010","Educación especial para discapacitados"
"E011","Internados"
"E012","Cuidado de niños (persona particular)"
"E013","Transporte escolar"
"E014","Libros para la escuela"
"E015","Gastos recurrentes en educación, como: credenciales, seguro médico, seguro de vida, cuotas a padres de familia"
"E016","Pago de imprevistos como: derecho a examen, examen extraordinario, cursos de regularización, etcétera"
"E017","Equipo escolar: máquinas de escribir, calculadora, etcétera"
"E018","Gastos recurrentes en educación técnica: credenciales, seguro médico, seguro de vida, cuotas a padres de familia"
"E019","Pago de imprevistos para educación técnica, como: derecho a examen, cursos de regularización, etcétera"
"E020","Material para la educación adicional"
"E021","Reparación y/o mantenimiento de equipo escolar"
"E022","Enciclopedia y libros (excluya los de la escuela)"
"E023","Periódicos"
"E024","Revistas"
"E025","Audiocasetes, discos y discos compactos"
"E026","Otros"
"E027","Cines"
"E028","Teatros y conciertos"
"E029","Centros nocturnos (incluye alimentos, bebidas, tabaco, entrada, propinas, etcétera)"
"E030","Espectáculos deportivos"
"E031","Lotería y juegos de azar"
"E032","Cuotas a centros sociales, asociaciones, clubes, etcétera"
"E033","Renta de casetes para videojuegos, discos compactos y videocasetes"
"E034","Otros gastos de recreación: museo, ferias, juegos mecánicos, balnearios, etcétera"
"F001","Instalación de la línea de teléfono particular"
"F002","Teléfonos celulares, pago inicial y equipo"
"F003","Compra de tarjeta para servicio de teléfono celular"
"F004","Teléfono público"
"F005","Estampillas para correo, paquetería, telégrafo"
"F006","Otros servicios: Internet público, fax público, etcétera"
"F007","Gasolina Magna"
"F008","Gasolina Premium"
"F009","Diesel y gas"
"F010","Aceites y lubricantes"
"F011","Reparación de llantas"
"F012","Pensión y estacionamiento"
"F013","Lavado y engrasado"
"F014","Otros servicios: encerado, inflado de llantas, etcétera"
"G001","Cuota por la vivienda recibida como prestación en el trabajo"
"G002","Cuota de la vivienda en otra situación"
"G003","Cuota o pago a otro hogar"
"G004","Alquiler de terrenos"
"G005","Recolección de basura"
"G006","Cuotas de vigilancia"
"G007","Cuotas de administración"
"G008","Otros servicios"
"G009","Gas licuado de petróleo"
"G010","Petróleo"
"G011","Diesel"
"G012","Carbón"
"G013","Leña"
"G014","Combustible para calentar"
"G015","Velas y veladoras"
"G016","Otros combustibles: cartón, papel, etcétera"
"G101","Renta o alquiler de la vivienda"
"G102","Estimación del alquiler de la vivienda que es prestada"
"G103","Estimación del alquiler de vivienda propia y se está pagando"
"G104","Estimación del alquiler de la vivienda que es propia"
"G105","Estimación del alquiler de vivienda intestada o en litigio"
"G106","Estimación del alquiler de la vivienda en otra situación"
"R001","Energía eléctrica"
"R002","Agua"
"R003","Gas natural"
"R004","Impuesto predial"
"R005","Largas distancias de línea particular"
"R006","Llamadas locales de línea particular"
"R007","Teléfonos celulares (plan mensual)"
"R008","Internet"
"R009","Televisión de paga"
"R010","Paquete de Internet y teléfono"
"R011","Paquete de Internet, teléfono y televisión de paga"
"R012","Tenencia vehicular"
"R013","Alarmas para la casa"
"H001","Pantalones para niño de 0 a 4 años"
"H002","Trajes, sacos, conjuntos, abrigos, gabardinas e impermeables para niño de 0 a 4 años"
"H003","Camisas para niño de 0 a 4 años"
"H004","Playeras para niño de 0 a 4 años"
"H005","Camisetas para niño de 0 a 4 años"
"H006","Suéteres, sudaderas y chambritas para niño de 0 a 4 años"
"H007","Pants para niño de 0 a 4 años"
"H008","Trusas y bóxer para niño de 0 a 4 años"
"H009","Calcetines, calcetas y tines para niño de 0 a 4 años"
"H010","Calzones de hule para niño de 0 a 4 años"
"H011","Pañales de tela para niño de 0 a 4 años"
"H012","Telas, confecciones y reparaciones para niño de 0 a 4 años"
"H013","Otras prendas de vestir: baberos, delantales, fajillas, batas, pijamas, etcétera para niño de 0 a 4 años"
"H014","Pantalones para niña de 0 a 4 años"
"H015","Trajes, sacos, conjuntos, abrigos, gabardinas e impermeables para niña de 0 a 4 años"
"H016","Vestidos y faldas para niña de 0 a 4 años"
"H017","Playeras para niña de 0 a 4 años"
"H018","Camisetas para niña de 0 a 4 años"
"H019","Suéteres, sudaderas y chambritas para niña de 0 a 4 años"
"H020","Blusas para niña de 0 a 4 años"
"H021","Pants para niña de 0 a 4 años"
"H022","Pantaletas para niña de 0 a 4 años"
"H023","Calcetas, tobilleras y tines para niña de 0 a 4 años"
"H024","Calzones de hule para niña de 0 a 4 años"
"H025","Pañales de tela para niña de 0 a 4 años"
"H026","Telas, confecciones y reparaciones para niña de 0 a 4 años"
"H027","Otras prendas de vestir: baberos, delantales, fajillas, batas, pijamas, etcétera ( para niña de 0 a 4 años"
"H028","Pantalones para niño de 5 a 17 años"
"H029","Camisas para niño de 5 a 17 años"
"H030","Playeras para niño de 5 a 17 años"
"H031","Trajes, sacos, abrigos, gabardinas e impermeables para niño de 5 a 17 años"
"H032","Chamarras para niño de 5 a 17 años"
"H033","Suéteres y sudaderas para niño de 5 a 17 años"
"H034","Trusas y bóxer para niño de 5 a 17 años"
"H035","Camisetas para niño de 5 a 17 años"
"H036","Calcetines, calcetas y tines para niño de 5 a 17 años"
"H037","Pants para niño de 5 a 17 años"
"H038","Telas, confecciones y reparaciones para niño de 5 a 17 años"
"H039","Otras prendas de vestir para hombre: corbatas, batas, pijamas, etcétera para niño de 5 a 17 años"
"H040","Pantalones para niña de 5 a 17 años"
"H041","Blusas para niña de 5 a 17 años"
"H042","Playeras para niña de 5 a 17 años"
"H043","Trajes, sacos, conjuntos, abrigos, gabardinas e impermeables para niña de 5 a 17 años"
"H044","Vestidos para niña de 5 a 17 años"
"H045","Faldas para niña de 5 a 17 años"
"H046","Suéteres y sudaderas para niña de 5 a 17 años"
"H047","Chamarras para niña de 5 a 17 años"
"H048","Calcetas, tobilleras, tines y mallas para niña de 5 a 17 años"
"H049","Pantaletas y fajas para niña de 5 a 17 años"
"H050","Brassieres para niña de 5 a 17 años"
"H051","Fondos y corpiños para niña de 5 a 17 años"
"H052","Medias, pantimedias y tobimedias para niña de 5 a 17 años"
"H053","Pants para niña de 5 a 17 años"
"H054","Telas, confecciones y reparaciones para niña de 5 a 17 años"
"H055","Otras prendas de vestir para mujer: rebozo, pijamas, camisones, batas, etcétera para niña de 5 a 17 años"
"H056","Pantalones para hombre de 18 o más años"
"H057","Camisas para hombre de 18 o más años"
"H058","Playeras para hombre de 18 o más años"
"H059","Trajes, sacos, conjuntos, abrigos, gabardinas e impermeables para hombre de 18 o más años"
"H060","Suéteres y sudaderas para hombre de 18 o más años"
"H061","Chamarras para hombre de 18 o más años"
"H062","Trusas y bóxer para hombre de 18 o más años"
"H063","Camisetas para hombre de 18 o más años"
"H064","Calcetines, calcetas y tines para hombre de 18 o más años"
"H065","Pants para hombre de 18 o más años"
"H066","Telas, confecciones y reparaciones para hombre de 18 o más años"
"H067","Otras prendas de vestir para hombre: corbatas, batas, pijamas, etcétera para hombre de 18 o más años"
"H068","Pantalones para mujer de 18 o más años"
"H069","Blusas para mujer de 18 o más años"
"H070","Playeras para mujer de 18 o más años"
"H071","Trajes, sacos, conjuntos, abrigos, gabardinas e impermeables para mujer de 18 o más años"
"H072","Vestidos para mujer de 18 o más años"
"H073","Faldas para mujer de 18 o más años"
"H074","Suéteres y sudaderas para mujer de 18 o más años"
"H075","Chamarras para mujer de 18 o más años"
"H076","Calcetas, tobilleras, tines y mallas para mujer de 18 o más años"
"H077","Pantaletas y fajas para mujer de 18 o más años"
"H078","Brassieres para mujer de 18 o más años"
"H079","Fondos y corpiños para mujer de 18 o más años"
"H080","Medias, pantimedias y tobimedias para mujer de 18 o más años"
"H081","Pants para mujer de 18 o más años"
"H082","Telas, confecciones y reparaciones para mujer de 18 o más años"
"H083","Otras prendas de vestir para mujer: rebozos, pijamas, camisones, batas, etcétera  para mujer de 18 o más años"
"H084","Zapatos para niño de 0 a 4 años"
"H085","Botas para niño de 0 a 4 años"
"H086","Tenis para niño de 0 a 4 años"
"H087","Huaraches para niño de 0 a 4 años"
"H088","Sandalias para baño o descanso para niño de 0 a 4 años"
"H089","Pantuflas para niño de 0 a 4 años"
"H090","Zapatos y sandalias para vestir para niña de 0 a 4 años"
"H091","Botas para niña de 0 a 4 años"
"H092","Tenis para niña de 0 a 4 años"
"H093","Huaraches para niña de 0 a 4 años"
"H094","Sandalias para baño o descanso para niña de 0 a 4 años"
"H095","Pantuflas para niña de 0 a 4 años"
"H096","Zapatos para niño de 5 a 17 años"
"H097","Botas para niño de 5 a 17 años"
"H098","Tenis para niño de 5 a 17 años"
"H099","Huaraches para niño de 5 a 17 años"
"H100","Sandalias para baño o descanso para niño de 5 a 17 años"
"H101","Pantuflas para niño de 5 a 17 años"
"H102","Zapatos y sandalias para vestir para niña de 5 a 17 años"
"H103","Botas para niña de 5 a 17 años"
"H104","Tenis para niña de 5 a 17 años"
"H105","Huaraches para niña de 5 a 17 años"
"H106","Sandalias para baño o descanso para niña de 5 a 17 años"
"H107","Pantuflas para niña de 5 a 17 años"
"H108","Zapatos para hombre de 18 o más años"
"H109","Botas para hombre de 18 o más años"
"H110","Tenis para hombre de 18 o más años"
"H111","Huaraches para hombre de 18 o más años"
"H112","Sandalias para baño o descanso para hombre de 18 o más años"
"H113","Pantuflas para hombre de 18 o más años"
"H114","Zapatos y sandalias para vestir para mujer de 18 o más años"
"H115","Botas para mujer de 18 o más años"
"H116","Tenis para mujer de 18 o más años"
"H117","Huaraches para mujer de 18 o más años"
"H118","Sandalias para baño o descanso para mujer de 18 o más años"
"H119","Pantuflas para mujer de 18 o más años"
"H120","Servicio de limpieza y reparación de calzado"
"H121","Crema para calzado"
"H122","Otros: agujetas, cepillos, etcétera"
"H123","Bolsas"
"H124","Cinturones, carteras y monederos"
"H125","Diademas"
"H126","Encendedores, cigarreras y polveras"
"H127","Joyería de fantasía"
"H128","Portafolios"
"H129","Relojes de pulso"
"H130","Sombreros, gorros y cachuchas"
"H131","Otros accesorios: lentes oscuros, etcétera"
"H132","Artículos y accesorios para el cuidado del bebé"
"H133","Reparación y/o mantenimiento de los artículos anteriores"
"H134","Uniformes y prendas de vestir para actividades educativas, artísticas y deportivas"
"H135","Prendas de vestir para eventos especiales derivados de la educación"
"H136","Telas, confecciones y reparaciones"
"I001","Vajilla completa de cristal, barro, plástico, etcétera"
"I002","Piezas sueltas de vajilla de cristal, barro, plástico, etcétera"
"I003","Recipientes o cajas de plástico para la cocina"
"I004","Vasos, copas y jarras de cristal, plástico, cerámica, etcétera"
"I005","Cubiertos"
"I006","Plantas y flores artificiales, objetos de cerámica, orfebrería, porcelana, y otros artículos decorativos"
"I007","Accesorios de hule y plástico: jabonera, tapetes, espejos, etc."
"I008","Reloj de pared o mesa"
"I009","Batería de cocina y piezas sueltas"
"I010","Olla express"
"I011","Otros utensilios: tijeras, abrelatas, pinzas para hielo, etc."
"I012","Herramientas: martillo, pinzas, taladro, etcétera"
"I013","Reparación y/o mantenimiento de los artículos anteriores"
"I014","Colchones"
"I015","Colchonetas"
"I016","Cobertores y cobijas"
"I017","Sábanas"
"I018","Fundas"
"I019","Colchas, edredones"
"I020","Manteles y servilletas"
"I021","Toallas"
"I022","Cortinas"
"I023","Telas, confecciones y reparaciones de artículos anteriores"
"I024","Hilos, hilazas y estambres"
"I025","Agujas, cierres, botones y broches"
"I026","Otros artículos: hamacas, almo-hadas, cojines, etc."
"J001","Honorarios por servicios profesionales: cirugía, anestesia, etcétera, durante el parto"
"J002","Hospitalización, durante el parto"
"J003","Análisis clínicos y estudios médicos: Rayos X, ultrasonido, etcétera, durante el parto"
"J004","Medicamentos recetados y material de curación, durante el parto"
"J005","Servicios de partera, durante el parto"
"J006","Otros: servicio de ambulancia, etcétera, durante el parto"
"J007","Consultas médicas, durante el embarazo"
"J008","Consultas, placas, puentes dentales y otros, durante el embarazo"
"J009","Medicamentos recetados, durante el embarazo"
"J010","Vitaminas y complementos alimenticios, durante el embarazo"
"J011","Análisis clínicos y estudios médicos: rayos X, ultrasonidos, durante el embarazo"
"J012","Hospitalización durante el embarazo (no parto)"
"J013","Servicios de partera, durante el embarazo"
"J014","Hierbas medicinales, remedios caseros, etcétera, durante el embarazo"
"J015","Otros servicios: ambulancia, aplicación de inyecciones, vacunas, etcétera, durante el embarazo"
"J016","Consultas médico general"
"J017","Consultas médico especialista (pediatría y ginecología, etc.)"
"J018","Consultas dentales (placas dentales o prótesis dentales, etc.)"
"J019","Análisis clínicos y estudios médicos: rayos X"
"J020","Medicamentos recetados para: diarrea, infecciones y malestar estomacal"
"J021","Medicamentos recetados para: gripe"
"J022","Medicamentos recetados para: piel"
"J023","Medicamentos recetados para: alergias"
"J024","Medicamentos recetados para: tos"
"J025","Medicamentos recetados para: infecciones de la garganta"
"J026","Medicamentos recetados para: fiebre"
"J027","Medicamentos recetados para: inflamación"
"J028","Medicamentos recetados para: otras infecciones (antibióticos)"
"J029","Medicamentos recetados para: dolor de cabeza y migraña"
"J030","Medicamentos recetados para: otro tipo de dolores"
"J031","Medicamentos recetados para: presión arterial"
"J032","Medicamentos recetados para: diabetes"
"J033","Medicamentos recetados para: vitaminas"
"J034","Medicamentos recetados para: anticonceptivos"
"J035","Otros medicamentos recetados"
"J036","Consultas médicas para el control de peso"
"J037","Medicamentos y productos para el control de peso"
"J038","Tratamiento para el control de peso"
"J039","Honorarios por servicios profesionales: cirujano, anestesista, etc."
"J040","Hospitalización"
"J041","Análisis clínicos y estudios médicos (rayos X, electros, etc.)"
"J042","Medicamentos recetados y material de curación"
"J043","Otros: servicios de ambulancia, oxígeno, suero, sondas, bolsas de diálisis y de orina, cómodos, etc."
"J044","Medicamentos sin receta para: diarrea, infecciones y malestar estomacal"
"J045","Medicamentos sin receta para: gripe"
"J046","Medicamentos sin receta para: piel"
"J047","Medicamentos sin receta para: alergias"
"J048","Medicamentos sin receta para: tos"
"J049","Medicamentos sin receta para: infecciones de la garganta"
"J050","Medicamentos sin receta para: fiebre"
"J051","Medicamentos sin receta para: inflamación"
"J052","Medicamentos sin receta para: otras infecciones (antibióticos)"
"J053","Medicamentos sin receta para: dolor de cabeza y migraña"
"J054","Medicamentos sin receta para: otro tipo de dolores"
"J055","Medicamentos sin receta para: vitaminas"
"J056","Medicamentos sin receta para: presión arterial"
"J057","Medicamentos sin receta para: diabetes"
"J058","Medicamentos sin receta para: anticonceptivos"
"J059","Otros medicamentos sin receta"
"J060","Algodón, gasas, vendas, etc."
"J061","Alcohol, merthiolate, solución antiséptica, etcétera"
"J062","Consultas con el curandero, huesero, quiropráctico, etcétera"
"J063","Medicamento naturista, hierbas medicinales, remedios caseros"
"J064","Medicamento homeopático"
"J065","Anteojos y lentes de contacto"
"J066","Aparatos para sordera"
"J067","Aparatos ortopédicos y para terapia, silla de ruedas, andadera, muletas, etcétera"
"J068","Reparación y mantenimiento de aparatos ortopédicos"
"J069","Otros: pago de enfermeras y personal al cuidado de enfermos, terapias, etcétera"
"J070","Cuotas a hospitales o clínicas"
"J071","Cuotas a compañías de seguros"
"J072","Cuotas de seguro popular"
"K001","Ventilador"
"K002","Aparatos telefónicos"
"K003","Identificador de llamadas, fax, etc."
"K004","Aparatos de aire acondicionado para casa (incluye refrigeración o clima)"
"K005","Máquina de coser y accesorios"
"K006","Cocina integral"
"K007","Estufa de gas"
"K008","Estufa de otro combustible: electricidad, petróleo"
"K009","Refrigerador"
"K010","Licuadora"
"K011","Batidora"
"K012","Plancha"
"K013","Extractor de jugos"
"K014","Horno de microondas"
"K015","Lavadora"
"K016","Aspiradora"
"K017","Calentador de gas"
"K018","Calentador de otro combustible"
"K019","Lámparas eléctricas (incluye candiles)"
"K020","Lámparas de otro combustible"
"K021","Tanque de gas e instalación"
"K022","Lavadero, tinaco y bomba de agua"
"K023","Compra e instalación de paneles solares y planta de luz propia"
"K024","Otros aparatos: tostador, calefactor, horno eléctrico, etcétera"
"K025","Reparación, y/o mantenimiento de los artículos anteriores"
"K026","Juego de recámara"
"K027","Piezas sueltas de recámara: camas, tocadores, literas, etcétera"
"K028","Juego de comedor o antecomedor"
"K029","Piezas sueltas para comedor o antecomedor (mesas, sillas)"
"K030","Juego de sala"
"K031","Piezas sueltas para sala (mesa de centro) Muebles"
"K032","Muebles para cocina (gabinete, mesa, etcétera)"
"K033","Muebles para baño (taza, tina, tina de hidromasaje, etcétera)"
"K034","Muebles para jardín"
"K035","Alfombras y tapetes"
"K036","Otros muebles: libreros, escritorio, mesa para televisión, etcétera"
"K037","Reparación y/o mantenimiento de los artículos anteriores"
"K038","Materiales para reparación y mantenimiento"
"K039","Servicios de reparación y mantenimiento"
"K040","Materiales para ampliación y remodelación"
"K041","Servicios para ampliación y remodelación"
"K042","Materiales para reparación y mantenimiento"
"K043","Servicios de reparación y mantenimiento"
