_id,id,genero,edad,ocupacion,cp,len_cp
ObjectId("5e48218d6431aa02622c07a1"),7,M,35,1,06810,5
ObjectId("5e48218d6431aa02622c07a2"),8,M,25,12,11413,5
ObjectId("5e48218d6431aa02622c07a3"),9,M,25,17,61614,5
ObjectId("5e48218d6431aa02622c07a4"),10,F,35,1,95370,5
ObjectId("5e48218d6431aa02622c07a5"),11,F,25,1,04093,5
ObjectId("5e48218d6431aa02622c07a6"),12,M,25,12,32793,5
ObjectId("5e48218d6431aa02622c07a7"),13,M,45,1,93304,5
ObjectId("5e48218d6431aa02622c07a8"),14,M,35,0,60126,5
ObjectId("5e48218d6431aa02622c07a9"),15,M,25,7,22903,5
ObjectId("5e48218d6431aa02622c07aa"),16,F,35,0,20670,5
ObjectId("5e48218d6431aa02622c07ab"),17,M,50,1,95350,5
ObjectId("5e48218d6431aa02622c07ac"),18,F,18,3,95825,5
ObjectId("5e48218d6431aa02622c07ad"),19,M,1,10,48073,5
ObjectId("5e48218d6431aa02622c07ae"),20,M,25,14,55113,5
ObjectId("5e48218d6431aa02622c07af"),21,M,18,16,99353,5
ObjectId("5e48218d6431aa02622c07b0"),22,M,18,15,53706,5
ObjectId("5e48218d6431aa02622c07b1"),23,M,35,0,90049,5
ObjectId("5e48218d6431aa02622c07b2"),24,F,25,7,10023,5
ObjectId("5e48218d6431aa02622c07b3"),25,M,18,4,01609,5
ObjectId("5e48218d6431aa02622c07b4"),26,M,25,7,23112,5
ObjectId("5e48218d6431aa02622c07b5"),27,M,25,11,19130,5
ObjectId("5e48218d6431aa02622c07b6"),28,F,25,1,14607,5
ObjectId("5e48218d6431aa02622c07b7"),29,M,35,7,33407,5
ObjectId("5e48218d6431aa02622c07b8"),30,F,35,7,19143,5
ObjectId("5e48218d6431aa02622c07b9"),31,M,56,7,06840,5
ObjectId("5e48218d6431aa02622c07ba"),32,F,25,0,19355,5
ObjectId("5e48218d6431aa02622c07bb"),33,M,45,3,55421,5
ObjectId("5e48218d6431aa02622c07bc"),34,F,18,0,02135,5
ObjectId("5e48218d6431aa02622c07bd"),35,M,45,1,02482,5
ObjectId("5e48218d6431aa02622c07be"),36,M,25,3,94123,5
ObjectId("5e48218d6431aa02622c07bf"),37,F,25,9,66212,5
ObjectId("5e48218d6431aa02622c07c0"),38,F,18,4,02215,5
ObjectId("5e48218d6431aa02622c07c1"),39,M,18,4,61820,5
ObjectId("5e48218d6431aa02622c07c2"),40,M,45,0,10543,5
ObjectId("5e48218d6431aa02622c07c3"),41,F,18,4,15116,5
ObjectId("5e48218d6431aa02622c07c4"),42,M,25,8,24502,5
ObjectId("5e48218d6431aa02622c07c5"),43,M,25,12,60614,5
ObjectId("5e48218d6431aa02622c07c6"),44,M,45,17,98052,5
ObjectId("5e48218d6431aa02622c07c7"),45,F,45,16,94110,5
ObjectId("5e48218d6431aa02622c07c8"),46,M,18,19,75602,5
ObjectId("5e48218d6431aa02622c07c9"),47,M,18,4,94305,5
ObjectId("5e48218d6431aa02622c07ca"),48,M,25,4,92107,5
ObjectId("5e48218d6431aa02622c07cb"),49,M,18,12,77084,5
ObjectId("5e48218d6431aa02622c07cc"),50,F,25,2,98133,5
ObjectId("5e48218d6431aa02622c07cd"),51,F,1,10,10562,5
ObjectId("5e48218d6431aa02622c07ce"),52,M,18,4,72212,5
ObjectId("5e48218d6431aa02622c07cf"),53,M,25,0,96931,5
ObjectId("5e48218d6431aa02622c07d0"),54,M,50,1,56723,5
ObjectId("5e48218d6431aa02622c07d1"),55,F,35,12,55303,5
ObjectId("5e48218d6431aa02622c07d2"),56,M,35,20,60440,5
ObjectId("5e48218d6431aa02622c07d3"),57,M,18,19,30350,5
ObjectId("5e48218d6431aa02622c07d4"),58,M,25,2,30303,5
ObjectId("5e48218d6431aa02622c07d5"),59,F,50,1,55413,5
ObjectId("5e48218d6431aa02622c07d6"),60,M,50,1,72118,5
ObjectId("5e48218d6431aa02622c07d7"),61,M,25,17,95122,5
ObjectId("5e48218d6431aa02622c07d8"),62,F,35,3,98105,5
ObjectId("5e48218d6431aa02622c07d9"),63,M,18,4,54902,5
ObjectId("5e48218d6431aa02622c07da"),64,M,18,1,53706,5
ObjectId("5e48218d6431aa02622c07db"),65,M,35,12,55803,5
ObjectId("5e48218d6431aa02622c07dc"),66,M,25,18,57706,5
ObjectId("5e48218d6431aa02622c07dd"),67,F,50,5,60181,5
ObjectId("5e48218d6431aa02622c07de"),68,M,18,4,53706,5
ObjectId("5e48218d6431aa02622c07df"),69,F,25,1,02143,5
ObjectId("5e48218d6431aa02622c07e0"),70,M,18,4,53703,5
ObjectId("5e48218d6431aa02622c07e1"),71,M,25,14,95008,5
ObjectId("5e48218d6431aa02622c07e2"),72,F,45,0,55122,5
ObjectId("5e48218d6431aa02622c07e3"),73,M,18,4,53706,5
ObjectId("5e48218d6431aa02622c07e4"),74,M,35,14,94530,5
ObjectId("5e48218d6431aa02622c07e5"),75,F,1,10,01748,5
ObjectId("5e48218d6431aa02622c07e6"),76,M,35,7,55413,5
ObjectId("5e48218d6431aa02622c07e7"),77,M,18,4,15321,5
ObjectId("5e48218d6431aa02622c07e8"),78,F,45,1,98029,5
ObjectId("5e48218d6431aa02622c07e9"),79,F,45,0,98103,5
ObjectId("5e48218d6431aa02622c07ea"),80,M,56,1,49327,5
ObjectId("5e48218d6431aa02622c07eb"),81,F,25,0,60640,5
ObjectId("5e48218d6431aa02622c07ec"),82,M,25,17,48380,5
ObjectId("5e48218d6431aa02622c07ed"),83,F,25,2,94609,5
ObjectId("5e48218d6431aa02622c07ee"),84,M,18,4,53140,5
ObjectId("5e48218d6431aa02622c07ef"),85,M,18,4,94945,5
ObjectId("5e48218d6431aa02622c07f0"),86,F,1,10,54467,5
ObjectId("5e48218d6431aa02622c07f1"),87,M,25,14,48360,5
ObjectId("5e48218d6431aa02622c07f2"),88,F,45,1,02476,5
ObjectId("5e48218d6431aa02622c07f3"),89,F,56,9,85749,5
ObjectId("5e48218d6431aa02622c07f4"),90,M,56,13,85749,5
ObjectId("5e48218d6431aa02622c07f5"),91,M,35,7,07650,5
ObjectId("5e48218d6431aa02622c07f6"),92,F,18,4,44243,5
ObjectId("5e48218d6431aa02622c07f7"),93,M,25,17,95825,5
ObjectId("5e48218d6431aa02622c07f8"),94,M,25,17,28601,5
ObjectId("5e48218d6431aa02622c07f9"),95,M,45,0,98201,5
ObjectId("5e48218d6431aa02622c07fa"),96,F,25,16,78028,5
ObjectId("5e48218d6431aa02622c07fb"),97,F,35,3,66210,5
ObjectId("5e48218d6431aa02622c07fc"),98,F,35,7,33547,5
ObjectId("5e48218d6431aa02622c07fd"),99,F,1,10,19390,5
ObjectId("5e48218d6431aa02622c07fe"),100,M,35,17,95401,5
ObjectId("5e48218d6431aa02622c07ff"),101,F,18,3,33314,5
ObjectId("5e48218d6431aa02622c0800"),102,M,35,19,20871,5
ObjectId("5e48218d6431aa02622c0801"),103,M,45,7,92104,5
ObjectId("5e48218d6431aa02622c0802"),104,M,25,12,00926,5
ObjectId("5e48218d6431aa02622c0803"),105,M,45,12,90277,5
ObjectId("5e48218d6431aa02622c0804"),106,F,35,11,79101,5
ObjectId("5e48218d6431aa02622c0805"),107,M,45,18,63129,5
ObjectId("5e48218d6431aa02622c0806"),108,M,25,12,30316,5
ObjectId("5e48218d6431aa02622c0807"),109,M,45,15,92028,5
ObjectId("5e48218d6431aa02622c0808"),110,M,25,2,90803,5
ObjectId("5e48218d6431aa02622c0809"),111,M,35,15,55416,5
ObjectId("5e48218d6431aa02622c080a"),112,M,25,16,97209,5
ObjectId("5e48218d6431aa02622c080b"),113,M,18,12,37032,5
ObjectId("5e48218d6431aa02622c080c"),114,F,25,2,83712,5
ObjectId("5e48218d6431aa02622c080d"),115,M,25,17,28083,5
ObjectId("5e48218d6431aa02622c080e"),116,M,25,17,55744,5
ObjectId("5e48218d6431aa02622c080f"),117,M,25,17,33314,5
ObjectId("5e48218d6431aa02622c0810"),118,M,35,17,22315,5
ObjectId("5e48218d6431aa02622c0811"),119,F,1,10,77515,5
ObjectId("5e48218d6431aa02622c0812"),120,M,25,11,27106,5
ObjectId("5e48218d6431aa02622c0813"),121,M,35,7,75229,5
ObjectId("5e48218d6431aa02622c0814"),122,F,18,4,94305,5
ObjectId("5e48218d6431aa02622c0815"),123,M,35,9,67208,5
ObjectId("5e48218d6431aa02622c0816"),124,M,56,7,91356,5
ObjectId("5e48218d6431aa02622c0817"),125,M,45,14,01701,5
ObjectId("5e48218d6431aa02622c0818"),126,M,18,9,98117,5
ObjectId("5e48218d6431aa02622c0819"),127,F,45,3,01770,5
ObjectId("5e48218d6431aa02622c081a"),128,M,56,6,37922,5
ObjectId("5e48218d6431aa02622c081b"),129,M,25,11,20164,5
ObjectId("5e48218d6431aa02622c081c"),130,M,35,17,50021,5
ObjectId("5e48218d6431aa02622c081d"),131,M,18,4,06520,5
ObjectId("5e48218d6431aa02622c081e"),132,M,25,17,99709,5
ObjectId("5e48218d6431aa02622c081f"),133,F,25,0,55071,5
ObjectId("5e48218d6431aa02622c0820"),134,M,25,0,66212,5
ObjectId("5e48218d6431aa02622c0821"),135,M,18,4,20006,5
ObjectId("5e48218d6431aa02622c0822"),136,M,18,2,21202,5
ObjectId("5e48218d6431aa02622c0823"),137,F,45,6,78758,5
ObjectId("5e48218d6431aa02622c0824"),138,M,18,20,22203,5
ObjectId("5e48218d6431aa02622c0825"),139,F,25,20,45409,5
ObjectId("5e48218d6431aa02622c0826"),140,F,35,1,55107,5
ObjectId("5e48218d6431aa02622c0827"),141,M,35,13,62035,5
ObjectId("5e48218d6431aa02622c0828"),142,M,25,7,10011,5
ObjectId("5e48218d6431aa02622c0829"),143,M,18,3,64043,5
ObjectId("5e48218d6431aa02622c082a"),144,M,25,17,29401,5
ObjectId("5e48218d6431aa02622c082b"),145,M,18,4,19081,5
ObjectId("5e48218d6431aa02622c082c"),146,F,35,20,10954,5
ObjectId("5e48218d6431aa02622c082d"),147,M,18,4,91360,5
ObjectId("5e48218d6431aa02622c082e"),148,M,50,17,57747,5
ObjectId("5e48218d6431aa02622c082f"),149,M,25,1,29205,5
ObjectId("5e48218d6431aa02622c0830"),150,M,35,7,98144,5
ObjectId("5e48218d6431aa02622c0831"),151,F,25,20,85013,5
ObjectId("5e48218d6431aa02622c0832"),152,M,18,4,48104,5
ObjectId("5e48218d6431aa02622c0833"),153,M,1,10,51537,5
ObjectId("5e48218d6431aa02622c0834"),154,M,50,20,94530,5
ObjectId("5e48218d6431aa02622c0835"),155,M,35,12,07470,5
ObjectId("5e48218d6431aa02622c0836"),156,F,45,7,14519,5
ObjectId("5e48218d6431aa02622c0837"),157,M,35,16,12866,5
ObjectId("5e48218d6431aa02622c0838"),158,M,56,7,28754,5
ObjectId("5e48218d6431aa02622c0839"),159,F,45,0,37922,5
ObjectId("5e48218d6431aa02622c083a"),160,M,35,7,13021,5
ObjectId("5e48218d6431aa02622c083c"),162,F,18,4,93117,5
ObjectId("5e48218d6431aa02622c083d"),163,M,18,4,85013,5
ObjectId("5e48218d6431aa02622c083e"),164,F,56,13,94566,5
ObjectId("5e48218d6431aa02622c083f"),165,M,18,16,98502,5
ObjectId("5e48218d6431aa02622c0840"),166,M,18,4,92802,5
ObjectId("5e48218d6431aa02622c0841"),167,F,25,11,10022,5
ObjectId("5e48218d6431aa02622c0842"),168,F,50,0,46970,5
ObjectId("5e48218d6431aa02622c0843"),169,M,25,7,55439,5
ObjectId("5e48218d6431aa02622c0844"),170,M,25,11,07002,5
ObjectId("5e48218d6431aa02622c0845"),171,F,50,17,55441,5
ObjectId("5e48218d6431aa02622c0846"),172,M,25,3,07661,5
ObjectId("5e48218d6431aa02622c0847"),173,M,25,0,45237,5
ObjectId("5e48218d6431aa02622c0848"),174,M,25,16,21203,5
ObjectId("5e48218d6431aa02622c0849"),175,F,25,2,95123,5
ObjectId("5e48218d6431aa02622c084a"),176,F,18,3,55016,5
ObjectId("5e48218d6431aa02622c084b"),177,M,50,1,54016,5
ObjectId("5e48218d6431aa02622c084c"),178,M,56,17,53705,5
ObjectId("5e48218d6431aa02622c084d"),179,M,25,0,02135,5
ObjectId("5e48218d6431aa02622c084e"),180,M,45,12,01603,5
ObjectId("5e48218d6431aa02622c084f"),181,M,18,17,33186,5
ObjectId("5e48218d6431aa02622c0850"),182,M,18,4,03052,5
ObjectId("5e48218d6431aa02622c0851"),183,F,45,1,55407,5
ObjectId("5e48218d6431aa02622c0852"),184,F,25,0,19001,5
ObjectId("5e48218d6431aa02622c0853"),185,M,45,0,14468,5
ObjectId("5e48218d6431aa02622c0854"),186,M,18,5,91767,5
ObjectId("5e48218d6431aa02622c0855"),187,F,45,1,94061,5
ObjectId("5e48218d6431aa02622c0856"),188,M,56,16,79930,5
ObjectId("5e48218d6431aa02622c0857"),189,M,18,0,60076,5
ObjectId("5e48218d6431aa02622c0858"),190,M,25,17,55125,5
ObjectId("5e48218d6431aa02622c0859"),191,M,18,4,04915,5
ObjectId("5e48218d6431aa02622c085a"),192,M,18,1,10977,5
ObjectId("5e48218d6431aa02622c085b"),193,F,45,15,44106,5
ObjectId("5e48218d6431aa02622c085c"),194,F,1,10,29146,5
ObjectId("5e48218d6431aa02622c085d"),195,M,25,12,10458,5
ObjectId("5e48218d6431aa02622c085e"),196,F,35,9,94587,5
ObjectId("5e48218d6431aa02622c085f"),197,M,18,14,10023,5
ObjectId("5e48218d6431aa02622c0860"),198,M,25,12,55108,5
ObjectId("5e48218d6431aa02622c0861"),199,M,18,4,83706,5
ObjectId("5e48218d6431aa02622c0862"),200,F,18,4,84321,5
ObjectId("5e48218d6431aa02622c0863"),201,F,35,2,55117,5
ObjectId("5e48218d6431aa02622c0864"),202,M,18,4,53706,5
ObjectId("5e48218d6431aa02622c0865"),203,F,18,4,53715,5
ObjectId("5e48218d6431aa02622c0866"),204,M,25,7,92123,5
ObjectId("5e48218d6431aa02622c0867"),205,M,35,12,97333,5
ObjectId("5e48218d6431aa02622c0868"),206,M,25,17,20194,5
ObjectId("5e48218d6431aa02622c0869"),207,M,25,12,94115,5
ObjectId("5e48218d6431aa02622c086a"),208,M,35,17,55432,5
ObjectId("5e48218d6431aa02622c086b"),209,M,35,1,90048,5
ObjectId("5e48218d6431aa02622c086c"),210,F,1,10,25801,5
ObjectId("5e48218d6431aa02622c086d"),211,M,45,17,90620,5
ObjectId("5e48218d6431aa02622c086e"),212,M,25,16,53714,5
ObjectId("5e48218d6431aa02622c086f"),213,F,18,4,01609,5
ObjectId("5e48218d6431aa02622c0870"),214,M,18,20,80218,5
ObjectId("5e48218d6431aa02622c0871"),215,M,35,14,92075,5
ObjectId("5e48218d6431aa02622c0872"),216,M,45,13,52761,5
ObjectId("5e48218d6431aa02622c0873"),217,M,18,4,22903,5
ObjectId("5e48218d6431aa02622c0874"),218,M,35,14,95822,5
ObjectId("5e48218d6431aa02622c0875"),219,F,25,4,55113,5
ObjectId("5e48218d6431aa02622c0876"),220,M,25,12,22903,5
ObjectId("5e48218d6431aa02622c0877"),221,F,25,0,94063,5
ObjectId("5e48218d6431aa02622c0878"),222,M,25,1,55116,5
ObjectId("5e48218d6431aa02622c0879"),223,M,25,17,28262,5
ObjectId("5e48218d6431aa02622c087a"),224,F,18,4,14850,5
ObjectId("5e48218d6431aa02622c087b"),225,M,25,7,11215,5
ObjectId("5e48218d6431aa02622c087c"),226,M,35,1,94518,5
ObjectId("5e48218d6431aa02622c087d"),227,M,35,20,90291,5
ObjectId("5e48218d6431aa02622c087e"),228,M,25,15,55455,5
ObjectId("5e48218d6431aa02622c087f"),229,M,18,10,04576,5
ObjectId("5e48218d6431aa02622c0880"),230,M,45,1,43210,5
ObjectId("5e48218d6431aa02622c0881"),231,M,25,3,55455,5
ObjectId("5e48218d6431aa02622c0882"),232,M,25,20,55408,5
ObjectId("5e48218d6431aa02622c0884"),234,M,35,7,39652,5
ObjectId("5e48218d6431aa02622c0885"),235,M,25,0,98153,5
ObjectId("5e48218d6431aa02622c0886"),236,M,25,5,55126,5
ObjectId("5e48218d6431aa02622c0887"),237,M,25,6,46835,5
ObjectId("5e48218d6431aa02622c0888"),238,F,50,7,90291,5
ObjectId("5e48218d6431aa02622c0889"),239,M,18,19,94618,5
ObjectId("5e48218d6431aa02622c088a"),240,M,50,17,55113,5
ObjectId("5e48218d6431aa02622c088b"),241,M,35,20,55121,5
ObjectId("5e48218d6431aa02622c088c"),242,F,18,4,53706,5
ObjectId("5e48218d6431aa02622c088d"),243,M,25,16,11576,5
ObjectId("5e48218d6431aa02622c088e"),244,M,50,7,19072,5
ObjectId("5e48218d6431aa02622c088f"),245,M,35,16,66046,5
ObjectId("5e48218d6431aa02622c0890"),246,F,18,4,60625,5
ObjectId("5e48218d6431aa02622c0891"),247,M,25,17,94404,5
ObjectId("5e48218d6431aa02622c0892"),248,M,18,17,72703,5
ObjectId("5e48218d6431aa02622c0893"),249,F,18,14,48126,5
ObjectId("5e48218d6431aa02622c0894"),250,M,35,16,11229,5
ObjectId("5e48218d6431aa02622c0895"),251,M,56,17,55105,5
ObjectId("5e48218d6431aa02622c0896"),252,M,25,12,94112,5
ObjectId("5e48218d6431aa02622c0897"),253,F,25,11,97370,5
ObjectId("5e48218d6431aa02622c0898"),254,M,35,17,49015,5
ObjectId("5e48218d6431aa02622c0899"),255,M,35,0,85310,5
ObjectId("5e48218d6431aa02622c089a"),256,M,45,16,55076,5
ObjectId("5e48218d6431aa02622c089b"),257,M,18,18,55113,5
ObjectId("5e48218d6431aa02622c089c"),258,M,25,7,55436,5
ObjectId("5e48218d6431aa02622c089d"),259,M,25,1,60615,5
ObjectId("5e48218d6431aa02622c089e"),260,M,18,19,98126,5
ObjectId("5e48218d6431aa02622c089f"),261,M,25,20,75801,5
ObjectId("5e48218d6431aa02622c08a0"),262,F,25,1,68503,5
ObjectId("5e48218d6431aa02622c08a1"),263,F,25,7,22304,5
ObjectId("5e48218d6431aa02622c08a2"),264,M,35,0,20755,5
ObjectId("5e48218d6431aa02622c08a3"),265,F,35,7,55116,5
ObjectId("5e48218d6431aa02622c08a4"),266,M,35,11,75229,5
ObjectId("5e48218d6431aa02622c08a5"),267,M,45,12,55001,5
ObjectId("5e48218d6431aa02622c08a6"),268,F,18,12,29708,5
ObjectId("5e48218d6431aa02622c08a7"),269,M,25,2,55408,5
ObjectId("5e48218d6431aa02622c08a8"),270,M,50,14,55414,5
ObjectId("5e48218d6431aa02622c08a9"),271,M,18,4,48202,5
ObjectId("5e48218d6431aa02622c08aa"),272,M,18,0,80302,5
ObjectId("5e48218d6431aa02622c08ab"),273,M,18,4,55427,5
ObjectId("5e48218d6431aa02622c08ac"),274,M,18,4,55455,5
ObjectId("5e48218d6431aa02622c08ad"),275,M,25,0,48162,5
ObjectId("5e48218d6431aa02622c08ae"),276,M,45,16,01982,5
ObjectId("5e48218d6431aa02622c08af"),277,F,35,1,98126,5
ObjectId("5e48218d6431aa02622c08b0"),278,M,45,18,60482,5
ObjectId("5e48218d6431aa02622c08b1"),279,M,25,14,91214,5
ObjectId("5e48218d6431aa02622c08b2"),280,M,50,7,19118,5
ObjectId("5e48218d6431aa02622c08b3"),281,F,35,0,94117,5
ObjectId("5e48218d6431aa02622c08b4"),282,M,25,17,94401,5
ObjectId("5e48218d6431aa02622c08b5"),283,M,25,0,10003,5
ObjectId("5e48218d6431aa02622c08b6"),284,M,25,12,91910,5
ObjectId("5e48218d6431aa02622c08b7"),285,F,35,0,94109,5
ObjectId("5e48218d6431aa02622c08b8"),286,M,25,1,54601,5
ObjectId("5e48218d6431aa02622c08b9"),287,M,50,13,94706,5
ObjectId("5e48218d6431aa02622c08ba"),288,F,25,12,97119,5
ObjectId("5e48218d6431aa02622c08bb"),289,F,25,0,11801,5
ObjectId("5e48218d6431aa02622c08bc"),290,F,25,20,94591,5
ObjectId("5e48218d6431aa02622c08bd"),291,M,35,12,55110,5
ObjectId("5e48218d6431aa02622c08be"),292,M,35,7,19406,5
ObjectId("5e48218d6431aa02622c08c0"),294,F,45,9,43147,5
ObjectId("5e48218d6431aa02622c08c1"),295,M,18,0,80203,5
ObjectId("5e48218d6431aa02622c08c2"),296,M,50,5,89432,5
ObjectId("5e48218d6431aa02622c08c3"),297,M,18,2,97211,5
ObjectId("5e48218d6431aa02622c08c4"),298,F,18,4,19010,5
ObjectId("5e48218d6431aa02622c08c5"),299,M,25,12,97370,5
ObjectId("5e48218d6431aa02622c08c6"),300,M,25,7,78664,5
ObjectId("5e48218d6431aa02622c08c7"),301,M,18,4,61820,5
ObjectId("5e48218d6431aa02622c08c8"),302,M,18,4,04901,5
ObjectId("5e48218d6431aa02622c08c9"),303,M,25,7,20006,5
ObjectId("5e48218d6431aa02622c08ca"),304,M,25,0,55414,5
ObjectId("5e48218d6431aa02622c08cb"),305,F,18,0,55414,5
ObjectId("5e48218d6431aa02622c08cc"),306,M,18,0,53051,5
